grupo_sent_vader_subcateg,A_NFO,A_NFR,A_NME,A_NEU,A_PFO,A_PFR,A_PME,D_NFO,D_NFR,D_NME,D_NEU,D_PFO,D_PFR,D_PME
_____taisi,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.0,0.12121212121212122,0.06060606060606061,0.10606060606060606,0.45454545454545453,0.045454545454545456,0.07575757575757576,0.13636363636363635
___buzzy,0.037037037037037035,0.1111111111111111,0.07407407407407407,0.4444444444444444,0.07407407407407407,0.07407407407407407,0.18518518518518517,0.11764705882352941,0.0,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.4117647058823529
__amarcella,0.25,0.0,0.125,0.375,0.0,0.0,0.25,0.4,0.0,0.0,0.2,0.2,0.0,0.2
__thamis__,0.1111111111111111,0.125,0.16666666666666666,0.3194444444444444,0.041666666666666664,0.06944444444444445,0.16666666666666666,0.11607142857142858,0.125,0.16071428571428573,0.39285714285714285,0.0625,0.044642857142857144,0.09821428571428571
_acdn,0.5,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.16981132075471697,0.1509433962264151,0.18867924528301888,0.16981132075471697,0.05660377358490566,0.11320754716981132,0.1509433962264151
_airamsil,0.35714285714285715,0.07142857142857142,0.21428571428571427,0.2857142857142857,0.0,0.0,0.07142857142857142,0.2,0.0,0.0,0.4,0.0,0.0,0.4
_alloka_,0.2727272727272727,0.09090909090909091,0.0,0.36363636363636365,0.0,0.09090909090909091,0.18181818181818182,0.0,0.08333333333333333,0.16666666666666666,0.5833333333333334,0.0,0.0,0.16666666666666666
_alves22_,0.3,0.15,0.2,0.1,0.05,0.05,0.15,0.07692307692307693,0.07692307692307693,0.5384615384615384,0.23076923076923078,0.0,0.07692307692307693,0.0
_anaxu,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.0,0.4,0.2,0.2,0.0,0.0,0.2
_annua,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.4
_brunesssa,0.09090909090909091,0.0,0.2727272727272727,0.36363636363636365,0.09090909090909091,0.0,0.18181818181818182,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.38461538461538464,0.0,0.07692307692307693,0.07692307692307693
_caio_zzz,0.14285714285714285,0.0,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.0,0.0,0.1,0.2,0.2,0.1,0.0,0.2,0.2
_camilafl_,0.2,0.0,0.2,0.26666666666666666,0.06666666666666667,0.2,0.06666666666666667,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.2222222222222222,0.0
_cellefonseca,0.25,0.125,0.125,0.25,0.125,0.125,0.0,0.375,0.5,0.0,0.125,0.0,0.0,0.0
_cels,0.20833333333333334,0.20833333333333334,0.125,0.25,0.041666666666666664,0.0,0.16666666666666666,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857
_chuchux,0.14705882352941177,0.08823529411764706,0.23529411764705882,0.20588235294117646,0.11764705882352941,0.04411764705882353,0.16176470588235295,0.05,0.15,0.2,0.1,0.2,0.1,0.2
_cornetando,0.05,0.016666666666666666,0.06666666666666667,0.8666666666666667,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.8695652173913043,0.0,0.043478260869565216,0.0
_czenith,0.0,0.2,0.2,0.6,0.0,0.0,0.0,0.0,0.125,0.25,0.5,0.0,0.0,0.125
