grupo_sent_subcateg,A_NFO,A_NFR,A_NME,A_NEU,A_PFO,A_PFR,A_PME,D_NFO,D_NFR,D_NME,D_NEU,D_PFO,D_PFR,D_PME
011079Tatiana,0.3333333333333333,0.0,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.0,0.0,0.375,0.0,0.0,0.375,0.25,0.0,0.0
07luc58,0.5,0.0,0.1111111111111111,0.3333333333333333,0.05555555555555555,0.0,0.0,0.2,0.0,0.2,0.5,0.1,0.0,0.0
0gusxd,0.4,0.0,0.0,0.0,0.2,0.0,0.4,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0,0.0
0xAAA966,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.4444444444444444,0.2222222222222222,0.0,0.0
1312_53,0.125,0.0,0.125,0.625,0.125,0.0,0.0,0.125,0.0,0.0,0.5,0.25,0.0,0.125
14Rei2Piratas,0.3125,0.0,0.125,0.25,0.21875,0.0,0.09375,0.5,0.0,0.125,0.375,0.0,0.0,0.0
16mine1,0.4,0.0,0.1,0.3,0.1,0.0,0.1,0.2,0.0,0.2,0.6,0.0,0.0,0.0
189beatzAntt88,0.2727272727272727,0.0,0.09090909090909091,0.45454545454545453,0.09090909090909091,0.0,0.09090909090909091,0.16666666666666666,0.0,0.08333333333333333,0.5,0.16666666666666666,0.0,0.08333333333333333
1marciamartinez,0.4074074074074074,0.0,0.1111111111111111,0.35185185185185186,0.1111111111111111,0.0,0.018518518518518517,0.2558139534883721,0.0,0.09302325581395349,0.5348837209302325,0.09302325581395349,0.0,0.023255813953488372
1redxz,0.3442622950819672,0.01639344262295082,0.08196721311475409,0.32786885245901637,0.14754098360655737,0.01639344262295082,0.06557377049180328,0.23076923076923078,0.0,0.10256410256410256,0.46153846153846156,0.1282051282051282,0.02564102564102564,0.05128205128205128
2109TaniaS,0.2711864406779661,0.0,0.1016949152542373,0.3728813559322034,0.23728813559322035,0.0,0.01694915254237288,0.2768361581920904,0.0,0.06779661016949153,0.4858757062146893,0.14689265536723164,0.0,0.022598870056497175
2140hs,0.3333333333333333,0.030303030303030304,0.12121212121212122,0.3333333333333333,0.09090909090909091,0.030303030303030304,0.06060606060606061,0.3695652173913043,0.021739130434782608,0.10869565217391304,0.2391304347826087,0.17391304347826086,0.0,0.08695652173913043
218fiatlux,0.42857142857142855,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.0
2394_41,0.3058823529411765,0.0,0.08235294117647059,0.3764705882352941,0.17647058823529413,0.011764705882352941,0.047058823529411764,0.29605263157894735,0.006578947368421052,0.02631578947368421,0.4342105263157895,0.17763157894736842,0.019736842105263157,0.039473684210526314
2Clortho,0.24,0.0,0.04,0.32,0.32,0.0,0.08,0.2391304347826087,0.010869565217391304,0.021739130434782608,0.42391304347826086,0.22826086956521738,0.0,0.07608695652173914
2M_Curty,0.2,0.0,0.0,0.4,0.4,0.0,0.0,0.2857142857142857,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,0.0
2SilvanaADiniz,0.37142857142857144,0.02857142857142857,0.02857142857142857,0.34285714285714286,0.17142857142857143,0.0,0.05714285714285714,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.3055555555555556,0.027777777777777776,0.0
2marlenesantos,0.375,0.0,0.0,0.5,0.125,0.0,0.0,0.0,0.0,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.0,0.0
333_meio_besta,0.5714285714285714,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.4,0.0,0.0,0.4,0.2,0.0,0.0
3djefferson,0.19230769230769232,0.0,0.038461538461538464,0.15384615384615385,0.5,0.07692307692307693,0.038461538461538464,0.2857142857142857,0.0,0.0,0.7142857142857143,0.0,0.0,0.0
49ifindec,0.21052631578947367,0.0,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.05263157894736842,0.10526315789473684,0.25,0.0,0.0,0.6666666666666666,0.0,0.0,0.08333333333333333
4ndreyue,0.3076923076923077,0.0,0.0,0.46153846153846156,0.23076923076923078,0.0,0.0,0.20833333333333334,0.0,0.08333333333333333,0.4583333333333333,0.25,0.0,0.0
4rthurnw,0.5555555555555556,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,0.16666666666666666,0.0,0.0
55_teka,0.29411764705882354,0.011764705882352941,0.09411764705882353,0.32941176470588235,0.2,0.023529411764705882,0.047058823529411764,0.1566265060240964,0.012048192771084338,0.07228915662650602,0.37349397590361444,0.24096385542168675,0.024096385542168676,0.12048192771084337
5Poder2,0.2777777777777778,0.0,0.09259259259259259,0.37037037037037035,0.2037037037037037,0.018518518518518517,0.037037037037037035,0.20588235294117646,0.0,0.11764705882352941,0.38235294117647056,0.17647058823529413,0.029411764705882353,0.08823529411764706
666peraltiago,0.4,0.0,0.4,0.0,0.0,0.0,0.2,0.3888888888888889,0.0,0.05555555555555555,0.3888888888888889,0.05555555555555555,0.0,0.1111111111111111
67Fabricio,0.2916666666666667,0.0,0.041666666666666664,0.375,0.20833333333333334,0.041666666666666664,0.041666666666666664,0.25,0.0,0.0,0.375,0.375,0.0,0.0
80BrunoBarbosa,0.2857142857142857,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,0.0,0.14705882352941177,0.0,0.2647058823529412,0.2647058823529412,0.20588235294117646,0.029411764705882353,0.08823529411764706
90lsm,0.25,0.0,0.1,0.4,0.15,0.0,0.1,0.35714285714285715,0.0,0.0,0.35714285714285715,0.21428571428571427,0.0,0.07142857142857142
93RDG,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
99juliabea,0.3235294117647059,0.029411764705882353,0.058823529411764705,0.4117647058823529,0.11764705882352941,0.029411764705882353,0.029411764705882353,0.625,0.0,0.0,0.25,0.125,0.0,0.0
A18Elisabeth,0.2777777777777778,0.0,0.08333333333333333,0.4444444444444444,0.1111111111111111,0.027777777777777776,0.05555555555555555,0.4411764705882353,0.0,0.058823529411764705,0.35294117647058826,0.11764705882352941,0.0,0.029411764705882353
ACMP_aninha,0.3333333333333333,0.0,0.0,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.0,0.0
ACesarbrito,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.375,0.0,0.0,0.25,0.375,0.0,0.0
ADRIANACOUTOLO2,0.07317073170731707,0.0,0.0,0.43902439024390244,0.4634146341463415,0.024390243902439025,0.0,0.15217391304347827,0.0,0.021739130434782608,0.5434782608695652,0.2826086956521739,0.0,0.0
ADRIANO_A1,0.21428571428571427,0.03571428571428571,0.07142857142857142,0.25,0.25,0.03571428571428571,0.14285714285714285,0.13043478260869565,0.0,0.13043478260869565,0.34782608695652173,0.391304347826087,0.0,0.0
AFEararaquara,0.2413793103448276,0.0,0.034482758620689655,0.5172413793103449,0.20689655172413793,0.0,0.0,0.18181818181818182,0.0,0.022727272727272728,0.6590909090909091,0.13636363636363635,0.0,0.0
AGM71com,0.5853658536585366,0.0,0.0975609756097561,0.21951219512195122,0.0975609756097561,0.0,0.0,0.38235294117647056,0.0,0.17647058823529413,0.38235294117647056,0.029411764705882353,0.0,0.029411764705882353
AIice_Costa,0.5507246376811594,0.014492753623188406,0.15942028985507245,0.14492753623188406,0.07246376811594203,0.0,0.057971014492753624,0.4444444444444444,0.0,0.05555555555555555,0.3888888888888889,0.05555555555555555,0.0,0.05555555555555555
AJeanhenrique,0.2980769230769231,0.038461538461538464,0.09615384615384616,0.375,0.17307692307692307,0.009615384615384616,0.009615384615384616,0.43333333333333335,0.025,0.06666666666666667,0.325,0.13333333333333333,0.008333333333333333,0.008333333333333333
AJordo1,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.21052631578947367,0.0,0.05263157894736842,0.2631578947368421,0.3684210526315789,0.0,0.10526315789473684
ALESSAN30733824,0.125,0.0,0.0,0.375,0.375,0.0,0.125,0.5,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666
ALLADIAS2003,0.16666666666666666,0.0,0.0,0.5416666666666666,0.16666666666666666,0.0,0.125,0.1506849315068493,0.0,0.0273972602739726,0.6438356164383562,0.1643835616438356,0.0136986301369863,0.0
ALVESSERRO,0.3333333333333333,0.0,0.0,0.5833333333333334,0.08333333333333333,0.0,0.0,0.18181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.0
AMSB67248690,0.14285714285714285,0.0,0.4857142857142857,0.2357142857142857,0.11428571428571428,0.0,0.02142857142857143,0.25,0.0,0.25,0.5,0.0,0.0,0.0
AMouraFe70,0.3157894736842105,0.02631578947368421,0.15789473684210525,0.34210526315789475,0.07894736842105263,0.0,0.07894736842105263,0.3611111111111111,0.08333333333333333,0.1111111111111111,0.3611111111111111,0.05555555555555555,0.0,0.027777777777777776
APirracenta,0.15873015873015872,0.015873015873015872,0.047619047619047616,0.49206349206349204,0.2222222222222222,0.015873015873015872,0.047619047619047616,0.1111111111111111,0.0,0.0,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.0
APropriaDire,0.27450980392156865,0.0,0.0784313725490196,0.35294117647058826,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.44776119402985076,0.029850746268656716,0.11940298507462686,0.26865671641791045,0.1044776119402985,0.0,0.029850746268656716
ARRUDA_ALE,0.2,0.05714285714285714,0.2571428571428571,0.2571428571428571,0.08571428571428572,0.05714285714285714,0.08571428571428572,0.2,0.0,0.2,0.2,0.2,0.0,0.2
AUGUSTO73580893,0.2916666666666667,0.041666666666666664,0.08333333333333333,0.4583333333333333,0.125,0.0,0.0,0.3333333333333333,0.0,0.06666666666666667,0.26666666666666666,0.26666666666666666,0.0,0.06666666666666667
AUREALAURINDO,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.0,0.0,0.6,0.0,0.0,0.0,0.4,0.0,0.0
AVANTE_BRAS,0.14285714285714285,0.02857142857142857,0.0,0.6285714285714286,0.17142857142857143,0.0,0.02857142857142857,0.3235294117647059,0.029411764705882353,0.0,0.47058823529411764,0.17647058823529413,0.0,0.0
AbbasalveBrasil,0.5,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.44,0.04,0.04,0.4,0.04,0.0,0.04
Abocona,0.3333333333333333,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.45454545454545453,0.0,0.045454545454545456,0.22727272727272727,0.22727272727272727,0.0,0.045454545454545456
AbsolvidoPerdao,0.3,0.0,0.0,0.55,0.15,0.0,0.0,0.3548387096774194,0.0,0.06451612903225806,0.45161290322580644,0.0967741935483871,0.0,0.03225806451612903
AcardiJoao,0.21052631578947367,0.05263157894736842,0.21052631578947367,0.2631578947368421,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.3333333333333333,0.0,0.1,0.26666666666666666,0.16666666666666666,0.0,0.13333333333333333
Adalba16,0.23529411764705882,0.0,0.11764705882352941,0.47058823529411764,0.11764705882352941,0.0,0.058823529411764705,0.4636363636363636,0.01818181818181818,0.09090909090909091,0.33636363636363636,0.07272727272727272,0.00909090909090909,0.00909090909090909
AdalbertoDantas,0.4,0.0,0.0,0.6,0.0,0.0,0.0,0.35714285714285715,0.0,0.07142857142857142,0.35714285714285715,0.14285714285714285,0.0,0.07142857142857142
AdaltoTessari,0.3333333333333333,0.0,0.0,0.5555555555555556,0.1111111111111111,0.0,0.0,0.5,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0
AdeliaCorrea10,0.6818181818181818,0.0,0.09090909090909091,0.22727272727272727,0.0,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0
AdemirTavares14,0.38461538461538464,0.0,0.15384615384615385,0.23076923076923078,0.15384615384615385,0.0,0.07692307692307693,0.16,0.04,0.16,0.32,0.24,0.0,0.08
AdenisCristine,0.35294117647058826,0.0,0.14705882352941177,0.38235294117647056,0.11764705882352941,0.0,0.0,0.5384615384615384,0.0,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.0,0.0
Adfspsi,0.6,0.0,0.0,0.3,0.1,0.0,0.0,0.25,0.0,0.125,0.375,0.125,0.0,0.125
Adilson_Mart,0.45454545454545453,0.0,0.09090909090909091,0.36363636363636365,0.0,0.045454545454545456,0.045454545454545456,0.34782608695652173,0.0,0.13043478260869565,0.4782608695652174,0.0,0.0,0.043478260869565216
AdriLopes17,0.3,0.03333333333333333,0.03333333333333333,0.43333333333333335,0.13333333333333333,0.0,0.06666666666666667,0.2631578947368421,0.0,0.10526315789473684,0.5263157894736842,0.10526315789473684,0.0,0.0
Adriana05808716,0.21428571428571427,0.03571428571428571,0.0,0.4642857142857143,0.2857142857142857,0.0,0.0,0.13043478260869565,0.0,0.043478260869565216,0.5,0.2608695652173913,0.0,0.06521739130434782
Adriana24641755,0.11764705882352941,0.0,0.11764705882352941,0.29411764705882354,0.47058823529411764,0.0,0.0,0.35294117647058826,0.058823529411764705,0.0,0.4117647058823529,0.17647058823529413,0.0,0.0
Adriana60430953,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.2,0.0,0.0
AdrianaAmati,0.25925925925925924,0.0,0.08148148148148149,0.3037037037037037,0.21481481481481482,0.014814814814814815,0.1259259259259259,0.21428571428571427,0.023809523809523808,0.14285714285714285,0.30952380952380953,0.19047619047619047,0.023809523809523808,0.09523809523809523
AdrianaVNews,0.2727272727272727,0.0,0.0,0.5454545454545454,0.18181818181818182,0.0,0.0,0.3333333333333333,0.0,0.08333333333333333,0.4166666666666667,0.125,0.0,0.041666666666666664
Adrianafgom,0.3333333333333333,0.0,0.0,0.5833333333333334,0.08333333333333333,0.0,0.0,0.3333333333333333,0.0,0.13333333333333333,0.3,0.16666666666666666,0.0,0.06666666666666667
Adrianakimber15,0.4,0.0,0.10909090909090909,0.38181818181818183,0.09090909090909091,0.0,0.01818181818181818,0.3548387096774194,0.010752688172043012,0.06451612903225806,0.3655913978494624,0.15053763440860216,0.021505376344086023,0.03225806451612903
AdrianoLessa,0.25,0.0,0.06818181818181818,0.4090909090909091,0.20454545454545456,0.015151515151515152,0.05303030303030303,0.27380952380952384,0.011904761904761904,0.07142857142857142,0.32142857142857145,0.17857142857142858,0.0,0.14285714285714285
Adriano_F_Alves,0.12,0.0,0.0,0.64,0.24,0.0,0.0,0.19230769230769232,0.0,0.07692307692307693,0.46153846153846156,0.23076923076923078,0.0,0.038461538461538464
Adrikabart,0.2222222222222222,0.0,0.030303030303030304,0.43434343434343436,0.2828282828282828,0.0,0.030303030303030304,0.09523809523809523,0.0,0.0,0.47619047619047616,0.3333333333333333,0.0,0.09523809523809523
Advogada18,0.35714285714285715,0.0,0.07142857142857142,0.30357142857142855,0.17857142857142858,0.0,0.08928571428571429,0.4,0.03333333333333333,0.03333333333333333,0.23333333333333334,0.13333333333333333,0.0,0.16666666666666666
AffonsecaFelipe,0.7142857142857143,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.5,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0
Afraniomachado,0.3,0.0,0.06666666666666667,0.43333333333333335,0.1,0.0,0.1,0.4,0.0,0.06666666666666667,0.4666666666666667,0.0,0.06666666666666667,0.0
AgassizFilho,0.2857142857142857,0.0,0.0,0.14285714285714285,0.5714285714285714,0.0,0.0,0.2,0.0,0.2,0.5,0.1,0.0,0.0
AguiarGuida,0.07692307692307693,0.0,0.0,0.6923076923076923,0.19230769230769232,0.0,0.038461538461538464,0.1386861313868613,0.0,0.0072992700729927005,0.34306569343065696,0.5036496350364964,0.0,0.0072992700729927005
Aguinal01628528,0.4666666666666667,0.0,0.03333333333333333,0.4,0.06666666666666667,0.0,0.03333333333333333,0.13333333333333333,0.0,0.1,0.4666666666666667,0.26666666666666666,0.0,0.03333333333333333
Air_tonton,0.375,0.0,0.125,0.375,0.0625,0.0625,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,0.0
Airlibanori,0.14285714285714285,0.0,0.07142857142857142,0.2857142857142857,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.18181818181818182,0.0,0.0,0.45454545454545453,0.18181818181818182,0.09090909090909091,0.09090909090909091
Airna60460259,0.23809523809523808,0.0,0.23809523809523808,0.3333333333333333,0.19047619047619047,0.0,0.0,0.44,0.0,0.08,0.4,0.08,0.0,0.0
Airton07535252,0.5,0.0,0.07894736842105263,0.3157894736842105,0.07894736842105263,0.0,0.02631578947368421,0.44339622641509435,0.0,0.16981132075471697,0.25471698113207547,0.10377358490566038,0.0,0.02830188679245283
AlanMaiaSanche1,0.16666666666666666,0.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0.0,0.1595744680851064,0.010638297872340425,0.06382978723404255,0.40425531914893614,0.22340425531914893,0.0,0.13829787234042554
AlanSonny,0.2,0.0,0.2,0.3,0.3,0.0,0.0,0.4444444444444444,0.0,0.1111111111111111,0.3333333333333333,0.0,0.1111111111111111,0.0
Albatrozzzz,0.34444444444444444,0.0,0.044444444444444446,0.32222222222222224,0.26666666666666666,0.0,0.022222222222222223,0.16176470588235295,0.029411764705882353,0.058823529411764705,0.39705882352941174,0.2647058823529412,0.014705882352941176,0.07352941176470588
Albertobritopb,0.3125,0.0,0.125,0.375,0.1875,0.0,0.0,0.4489795918367347,0.0,0.08163265306122448,0.2653061224489796,0.16326530612244897,0.02040816326530612,0.02040816326530612
AlcebiadesJusto,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.21428571428571427,0.0,0.0,0.35714285714285715,0.42857142857142855,0.0,0.0
AlcidesBdeAmor1,0.36,0.0,0.0,0.52,0.12,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.6923076923076923,0.07692307692307693,0.0,0.07692307692307693
AlcidesJnior6,0.35294117647058826,0.0,0.0,0.47058823529411764,0.11764705882352941,0.058823529411764705,0.0,0.1,0.0,0.1,0.4,0.4,0.0,0.0
AlcioneLonde,0.25,0.0,0.05555555555555555,0.3333333333333333,0.25,0.0,0.1111111111111111,0.11764705882352941,0.0,0.058823529411764705,0.47058823529411764,0.29411764705882354,0.0,0.058823529411764705
AldaCas61313212,0.35714285714285715,0.0,0.0,0.35714285714285715,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.5,0.14285714285714285,0.0,0.07142857142857142
AldairMorai,0.27586206896551724,0.0,0.034482758620689655,0.5862068965517241,0.06896551724137931,0.0,0.034482758620689655,0.19480519480519481,0.0,0.07792207792207792,0.5064935064935064,0.19480519480519481,0.0,0.025974025974025976
Ale13Nicastro,0.4126984126984127,0.031746031746031744,0.07936507936507936,0.2698412698412698,0.12698412698412698,0.015873015873015872,0.06349206349206349,0.27358490566037735,0.02830188679245283,0.14150943396226415,0.330188679245283,0.19811320754716982,0.018867924528301886,0.009433962264150943
Ale1975rj,0.42857142857142855,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.5555555555555556,0.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0
Aleanogueira,0.42857142857142855,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.3,0.0,0.1,0.4,0.1,0.0,0.1
Alesq7,0.15384615384615385,0.0,0.07692307692307693,0.5384615384615384,0.23076923076923078,0.0,0.0,0.3125,0.0,0.0875,0.4875,0.0625,0.0125,0.0375
Alessan21577603,0.22727272727272727,0.0,0.045454545454545456,0.4090909090909091,0.18181818181818182,0.0,0.13636363636363635,0.24,0.0,0.0,0.48,0.24,0.0,0.04
Alessan22445598,0.26288659793814434,0.010309278350515464,0.07216494845360824,0.26804123711340205,0.33505154639175255,0.015463917525773196,0.03608247422680412,0.272,0.0,0.096,0.328,0.288,0.008,0.008
AletheiaSincera,0.3333333333333333,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.0,0.1111111111111111,0.18518518518518517,0.0,0.07407407407407407,0.5555555555555556,0.14814814814814814,0.0,0.037037037037037035
AlexDeMelo62,0.5714285714285714,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.25,0.0,0.0
AlexFalcaoPhoto,0.2549019607843137,0.0,0.0784313725490196,0.5294117647058824,0.13725490196078433,0.0,0.0,0.3157894736842105,0.02631578947368421,0.10526315789473684,0.39473684210526316,0.10526315789473684,0.02631578947368421,0.02631578947368421
Alex_SaoPauloFC,0.2222222222222222,0.0,0.1111111111111111,0.6666666666666666,0.0,0.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0
Alexand39567206,0.14285714285714285,0.0,0.09523809523809523,0.42857142857142855,0.2857142857142857,0.0,0.047619047619047616,0.17647058823529413,0.0,0.0,0.5882352941176471,0.23529411764705882,0.0,0.0
Alexand98737651,0.35294117647058826,0.0,0.17647058823529413,0.35294117647058826,0.11764705882352941,0.0,0.0,0.16666666666666666,0.0,0.5,0.16666666666666666,0.16666666666666666,0.0,0.0
Alexand99125051,0.125,0.0,0.125,0.75,0.0,0.0,0.0,0.4,0.0,0.2,0.1,0.3,0.0,0.0
AlexandreLOS,0.5,0.0,0.14285714285714285,0.10714285714285714,0.25,0.0,0.0,0.40625,0.0,0.125,0.21875,0.25,0.0,0.0
AlexandreObvio,0.3,0.05,0.1,0.25,0.1,0.05,0.15,0.34545454545454546,0.0,0.10909090909090909,0.2727272727272727,0.18181818181818182,0.01818181818181818,0.07272727272727272
AlexandreStemp1,0.5,0.0,0.0,0.375,0.125,0.0,0.0,0.5,0.0,0.0,0.2,0.3,0.0,0.0
Alexanndre1981,0.3275862068965517,0.0,0.06896551724137931,0.3275862068965517,0.1896551724137931,0.0,0.08620689655172414,0.28,0.04,0.12,0.24,0.28,0.0,0.04
AlexeyDodsworth,0.1111111111111111,0.0,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.3125,0.0,0.125,0.25,0.3125,0.0,0.0
AliceRenise,0.42857142857142855,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.14285714285714285,0.0,0.0,0.5714285714285714,0.0,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0
Aliecormaid,0.3125,0.0,0.0625,0.3125,0.25,0.0,0.0625,0.5,0.0,0.0,0.5,0.0,0.0,0.0
AlienJB2022,0.18181818181818182,0.022727272727272728,0.09090909090909091,0.29545454545454547,0.3181818181818182,0.0,0.09090909090909091,0.0,0.05263157894736842,0.15789473684210525,0.47368421052631576,0.2631578947368421,0.0,0.05263157894736842
Aline91471485,0.23008849557522124,0.008849557522123894,0.061946902654867256,0.3805309734513274,0.2743362831858407,0.0,0.04424778761061947,0.36666666666666664,0.0,0.041666666666666664,0.25,0.26666666666666666,0.016666666666666666,0.058333333333333334
AlineFo22780878,0.35,0.0,0.15,0.35,0.1,0.0,0.05,0.4461538461538462,0.0,0.09230769230769231,0.3230769230769231,0.046153846153846156,0.015384615384615385,0.07692307692307693
AlineJuliete13,0.2857142857142857,0.047619047619047616,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.0,0.047619047619047616,0.3181818181818182,0.045454545454545456,0.045454545454545456,0.5454545454545454,0.0,0.045454545454545456,0.0
AlineMarttins,0.47058823529411764,0.0,0.0,0.47058823529411764,0.058823529411764705,0.0,0.0,0.06666666666666667,0.0,0.13333333333333333,0.4666666666666667,0.26666666666666666,0.0,0.06666666666666667
