grupo_sent_subcateg,A_NFO,A_NFR,A_NME,A_NEU,A_PFO,A_PFR,A_PME,D_NFO,D_NFR,D_NME,D_NEU,D_PFO,D_PFR,D_PME
011079Tatiana,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.0,0.0,0.0,0.25,0.0,0.0,0.625,0.125,0.0,0.0
07luc58,0.5,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.1,0.0,0.2,0.4,0.2,0.0,0.1
0gusxd,0.4,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285
0xAAA966,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.5555555555555556,0.2222222222222222,0.0,0.0
1312_53,0.25,0.0,0.0,0.5,0.25,0.0,0.0,0.125,0.0,0.125,0.625,0.125,0.0,0.0
14Rei2Piratas,0.28125,0.0625,0.0625,0.28125,0.25,0.0,0.0625,0.625,0.0,0.125,0.25,0.0,0.0,0.0
16mine1,0.1,0.0,0.2,0.2,0.3,0.0,0.2,0.2,0.0,0.2,0.6,0.0,0.0,0.0
189beatzAntt88,0.2727272727272727,0.09090909090909091,0.0,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.0,0.16666666666666666,0.0,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.16666666666666666
1marciamartinez,0.35185185185185186,0.018518518518518517,0.037037037037037035,0.46296296296296297,0.1111111111111111,0.018518518518518517,0.0,0.20930232558139536,0.0,0.11627906976744186,0.46511627906976744,0.13953488372093023,0.0,0.06976744186046512
1redxz,0.2459016393442623,0.0,0.13114754098360656,0.26229508196721313,0.16393442622950818,0.04918032786885246,0.14754098360655737,0.15384615384615385,0.02564102564102564,0.07692307692307693,0.3333333333333333,0.2564102564102564,0.05128205128205128,0.10256410256410256
2109TaniaS,0.2542372881355932,0.01694915254237288,0.0847457627118644,0.3389830508474576,0.22033898305084745,0.0,0.0847457627118644,0.3107344632768362,0.011299435028248588,0.062146892655367235,0.3559322033898305,0.1807909604519774,0.011299435028248588,0.06779661016949153
2140hs,0.24242424242424243,0.06060606060606061,0.15151515151515152,0.21212121212121213,0.2727272727272727,0.030303030303030304,0.030303030303030304,0.2826086956521739,0.021739130434782608,0.1956521739130435,0.30434782608695654,0.13043478260869565,0.043478260869565216,0.021739130434782608
218fiatlux,0.2857142857142857,0.0,0.14285714285714285,0.42857142857142855,0.0,0.14285714285714285,0.0,0.4444444444444444,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111
2394_41,0.24705882352941178,0.011764705882352941,0.10588235294117647,0.32941176470588235,0.16470588235294117,0.058823529411764705,0.08235294117647059,0.21710526315789475,0.013157894736842105,0.09868421052631579,0.3223684210526316,0.2236842105263158,0.019736842105263157,0.10526315789473684
2Clortho,0.16,0.0,0.04,0.4,0.28,0.08,0.04,0.22826086956521738,0.010869565217391304,0.08695652173913043,0.358695652173913,0.20652173913043478,0.043478260869565216,0.06521739130434782
2M_Curty,0.2,0.0,0.1,0.5,0.2,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0
2SilvanaADiniz,0.2857142857142857,0.02857142857142857,0.05714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.05714285714285714,0.19444444444444445,0.0,0.08333333333333333,0.3333333333333333,0.25,0.0,0.1388888888888889
2marlenesantos,0.375,0.0,0.125,0.125,0.25,0.125,0.0,0.1111111111111111,0.0,0.1111111111111111,0.6666666666666666,0.1111111111111111,0.0,0.0
