grupo_sent_subcateg,A_NFO,A_NFR,A_NME,A_NEU,A_PFO,A_PFR,A_PME,D_NFO,D_NFR,D_NME,D_NEU,D_PFO,D_PFR,D_PME
011079Tatiana,0.0,0.4444444444444444,0.0,0.4444444444444444,0.0,0.1111111111111111,0.0,0.0,0.125,0.125,0.375,0.0,0.25,0.125
07luc58,0.0,0.1111111111111111,0.1111111111111111,0.6111111111111112,0.0,0.16666666666666666,0.0,0.1,0.3,0.1,0.3,0.0,0.2,0.0
0gusxd,0.0,0.2,0.2,0.4,0.0,0.0,0.2,0.0,0.2857142857142857,0.0,0.5714285714285714,0.0,0.0,0.14285714285714285
0xAAA966,0.0,0.125,0.125,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.2222222222222222,0.0
1312_53,0.0,0.125,0.0,0.625,0.0,0.25,0.0,0.0,0.0,0.0,0.375,0.0,0.5,0.125
14Rei2Piratas,0.03125,0.28125,0.0625,0.1875,0.03125,0.34375,0.0625,0.125,0.25,0.25,0.125,0.125,0.125,0.0
16mine1,0.3,0.1,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.4,0.0,0.2,0.0
189beatzAntt88,0.09090909090909091,0.09090909090909091,0.0,0.36363636363636365,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.0,0.0,0.08333333333333333,0.6666666666666666,0.08333333333333333,0.16666666666666666,0.0
1marciamartinez,0.0,0.12962962962962962,0.1111111111111111,0.5185185185185185,0.018518518518518517,0.18518518518518517,0.037037037037037035,0.0,0.11627906976744186,0.06976744186046512,0.6511627906976745,0.023255813953488372,0.09302325581395349,0.046511627906976744
1redxz,0.0,0.19672131147540983,0.06557377049180328,0.22950819672131148,0.0,0.4262295081967213,0.08196721311475409,0.02564102564102564,0.15384615384615385,0.07692307692307693,0.3333333333333333,0.0,0.28205128205128205,0.1282051282051282
