grupo_sent_subcateg,A_NFO,A_NFR,A_NME,A_NEU,A_PFO,A_PFR,A_PME,D_NFO,D_NFR,D_NME,D_NEU,D_PFO,D_PFR,D_PME
011079Tatiana,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.1111111111111111,0.0,0.375,0.125,0.125,0.25,0.125,0.0
07luc58,0.2777777777777778,0.16666666666666666,0.2777777777777778,0.1111111111111111,0.0,0.1111111111111111,0.05555555555555555,0.1,0.0,0.2,0.3,0.1,0.2,0.1
0gusxd,0.2,0.0,0.2,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.2857142857142857
0xAAA966,0.0,0.0,0.0,0.5,0.125,0.0,0.375,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111
1312_53,0.25,0.125,0.0,0.25,0.25,0.0,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.375
14Rei2Piratas,0.21875,0.09375,0.21875,0.125,0.125,0.0625,0.15625,0.375,0.0,0.375,0.125,0.0,0.0,0.125
16mine1,0.1,0.0,0.3,0.1,0.1,0.3,0.1,0.2,0.0,0.2,0.2,0.0,0.4,0.0
189beatzAntt88,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.25,0.0,0.08333333333333333
1marciamartinez,0.12962962962962962,0.037037037037037035,0.25925925925925924,0.18518518518518517,0.14814814814814814,0.12962962962962962,0.1111111111111111,0.046511627906976744,0.046511627906976744,0.16279069767441862,0.23255813953488372,0.18604651162790697,0.09302325581395349,0.23255813953488372
1redxz,0.11475409836065574,0.09836065573770492,0.16393442622950818,0.19672131147540983,0.13114754098360656,0.08196721311475409,0.21311475409836064,0.10256410256410256,0.10256410256410256,0.07692307692307693,0.28205128205128205,0.07692307692307693,0.20512820512820512,0.15384615384615385
2109TaniaS,0.06779661016949153,0.03389830508474576,0.2711864406779661,0.2033898305084746,0.1016949152542373,0.11864406779661017,0.2033898305084746,0.11299435028248588,0.13559322033898305,0.13559322033898305,0.2768361581920904,0.12994350282485875,0.06779661016949153,0.14124293785310735
2140hs,0.15151515151515152,0.06060606060606061,0.18181818181818182,0.2727272727272727,0.12121212121212122,0.12121212121212122,0.09090909090909091,0.1956521739130435,0.08695652173913043,0.1956521739130435,0.13043478260869565,0.15217391304347827,0.08695652173913043,0.15217391304347827
218fiatlux,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.3333333333333333
2394_41,0.15294117647058825,0.023529411764705882,0.12941176470588237,0.2,0.24705882352941178,0.09411764705882353,0.15294117647058825,0.13157894736842105,0.07894736842105263,0.15789473684210525,0.17763157894736842,0.17105263157894737,0.07236842105263158,0.21052631578947367
2Clortho,0.04,0.04,0.2,0.4,0.2,0.04,0.08,0.08695652173913043,0.043478260869565216,0.14130434782608695,0.2391304347826087,0.08695652173913043,0.06521739130434782,0.33695652173913043
2M_Curty,0.1,0.0,0.1,0.2,0.3,0.1,0.2,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.2857142857142857
